Date,year,Site_location,LONGITUDE,LATITUDE,Region,Site_number,Clade,Species_name,Collection_no,Plant_no,LMA,Canopy_area,LWratio,FWC
.,2012,Springbok: Naries 2,17.68008,-29.67988,Northern_Cape,129,.,grandicalcaratum,1547,1547,0.012663755,4882.034984,5.333333333,3.24137931
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,1,0.006073753,163.362818,1.333333333,2.75
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,2,0.006470588,176.7145868,1,2.392857143
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,3,0.005035971,70.68583471,1,2.911764706
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,4,0.005721097,296.8805058,0.75862069,3.333333333
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,5,0.004110997,241.9026343,0.705882353,3.333333333
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,6,0.003131115,102.1017612,1.45,2.796875
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,7,0.006235012,120.9513172,0.8,2.583333333
8/3/2011,2011,Swartberg_NR:_Pass_South_5,22.06524,-33.36228,Swartberg,PL_1031,B,grossularioides,49,8,0.005580029,120.9513172,0.807692308,3.227272727
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,1,0.004612666,18552.67542,1.451612903,5.514563107
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,2,0.004718004,2814.867018,1.735294118,5.461165049
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,3,0.00223189,428.8273972,1.688888889,8.521126761
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,4,0.00205739,254.4690049,1.875,8.326086957
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,5,0.003525499,.,1.84,5.972636816
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,6,0.003297769,.,2.24,6.39516129
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,7,0.002353506,.,1.285714286,8.409836066
7/26/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_5,20.54114,-34.37597,De_Hoop,PL_1003,A1,hispidum,10,8,0.001779096,.,2.75,9.34375
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,hispidum,41,1,0.010560797,.,3.4,1.380903491
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,hispidum,41,1,0.011273408,.,5.1875,4.361370717
8/3/2011,2011,Swartberg_NR:_Malvadrai,22.0508,-33.30021667,Swartberg,PL_1026,A1,hispidum,42,1,0.00513738,.,2.966666667,3.870292887
8/3/2011,2011,Swartberg_NR:_Malvadrai,22.0508,-33.30021667,Swartberg,PL_1026,A1,hispidum,42,1,0.005108917,.,3.424124514,3.903314917
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,hispidum,41,2,0.007627119,.,2.724137931,2.914790997
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,hispidum,41,2,0.008709485,.,3.318181818,2.629343629
8/3/2011,2011,Swartberg_NR:_Malvadrai,22.0508,-33.30021667,Swartberg,PL_1026,A1,hispidum,42,2,0.004142931,.,3.652173913,4.258196721
8/3/2011,2011,Swartberg_NR:_Malvadrai,22.0508,-33.30021667,Swartberg,PL_1026,A1,hispidum,42,2,0.005954074,.,3.96875,3.284119107
